year,region,industry,subsector_letter,info_type,data
2009,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,28246583.044938594
2009,UK,Manufacturing,C,Average Total Weekly Hours,91083509.99316838
2009,UK,Construction,F,Average Total Weekly Hours,76238573.8938312
2009,UK,Trade,G,Average Total Weekly Hours,138696604.325065
2009,UK,Transport,H,Average Total Weekly Hours,49564625.60675843
2009,UK,Leisure and Entertainment,I,Average Total Weekly Hours,48453128.83163982
2009,UK,Telecoms,J,Average Total Weekly Hours,39691559.72653596
2009,UK,Financial Services,K,Average Total Weekly Hours,37511988.17267456
2009,UK,Financial Services,L,Average Total Weekly Hours,13396523.444268208
2009,UK,Professional and Business Services,M,Average Total Weekly Hours,69818487.7657508
2009,UK,Professional and Business Services,N,Average Total Weekly Hours,65967270.39296071
2009,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,54806070.38351403
2009,UK,Education and Health,P,Average Total Weekly Hours,62776099.325260006
2009,UK,Education and Health,Q,Average Total Weekly Hours,100022537.96499068
2009,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19865985.67756909
2009,UK,Other Services,S and T,Average Total Weekly Hours,24142293.197299514
2010,UK,All Industries,All Industries,Average Total Weekly Hours,916228621.43985
2010,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30179287.504176404
2010,UK,Manufacturing,C,Average Total Weekly Hours,89967196.69538328
2010,UK,Construction,F,Average Total Weekly Hours,72099090.75272137
2010,UK,Trade,G,Average Total Weekly Hours,137246524.68321902
2010,UK,Transport,H,Average Total Weekly Hours,47923291.98508993
2010,UK,Leisure and Entertainment,I,Average Total Weekly Hours,48177360.93400048
2010,UK,Telecoms,J,Average Total Weekly Hours,39609270.10606908
2010,UK,Financial Services,K,Average Total Weekly Hours,36581441.262361296
2010,UK,Financial Services,L,Average Total Weekly Hours,13985454.23403229
2010,UK,Professional and Business Services,M,Average Total Weekly Hours,69984855.17159964
2010,UK,Professional and Business Services,N,Average Total Weekly Hours,66916325.28385459
2010,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,54601557.663009144
2010,UK,Education and Health,P,Average Total Weekly Hours,62024690.5100743
2010,UK,Education and Health,Q,Average Total Weekly Hours,103118521.98196736
2010,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19762544.535409898
2010,UK,Other Services,S and T,Average Total Weekly Hours,24051208.136881813
2011,UK,All Industries,All Industries,Average Total Weekly Hours,928363128.1458251
2011,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30766346.576920394
2011,UK,Manufacturing,C,Average Total Weekly Hours,90095682.50644049
2011,UK,Construction,F,Average Total Weekly Hours,71406311.21509954
2011,UK,Trade,G,Average Total Weekly Hours,138344313.0528912
2011,UK,Transport,H,Average Total Weekly Hours,47482018.8237192
2011,UK,Leisure and Entertainment,I,Average Total Weekly Hours,48783469.82631092
2011,UK,Telecoms,J,Average Total Weekly Hours,42149028.97312963
2011,UK,Financial Services,K,Average Total Weekly Hours,38277869.47601596
2011,UK,Financial Services,L,Average Total Weekly Hours,13662833.402630273
2011,UK,Professional and Business Services,M,Average Total Weekly Hours,71470436.17654847
2011,UK,Professional and Business Services,N,Average Total Weekly Hours,69996888.945095
2011,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,51645086.581788406
2011,UK,Education and Health,P,Average Total Weekly Hours,64088774.27655104
2011,UK,Education and Health,Q,Average Total Weekly Hours,105068620.39790145
2011,UK,Leisure and Entertainment,R,Average Total Weekly Hours,20214370.858565513
2011,UK,Other Services,S and T,Average Total Weekly Hours,24911077.056217514
2012,UK,All Industries,All Industries,Average Total Weekly Hours,946779172.4370999
2012,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30528472.30094844
2012,UK,Manufacturing,C,Average Total Weekly Hours,90527360.5193402
2012,UK,Construction,F,Average Total Weekly Hours,71269544.3541317
2012,UK,Trade,G,Average Total Weekly Hours,140846459.84821767
2012,UK,Transport,H,Average Total Weekly Hours,48880802.55202646
2012,UK,Leisure and Entertainment,I,Average Total Weekly Hours,50278594.52088396
2012,UK,Telecoms,J,Average Total Weekly Hours,42257512.814798996
2012,UK,Financial Services,K,Average Total Weekly Hours,38692367.494694605
2012,UK,Financial Services,L,Average Total Weekly Hours,14491058.896920133
2012,UK,Professional and Business Services,M,Average Total Weekly Hours,75132759.3501654
2012,UK,Professional and Business Services,N,Average Total Weekly Hours,74298266.39319156
2012,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,50455157.098483
2012,UK,Education and Health,P,Average Total Weekly Hours,66784277.5807922
2012,UK,Education and Health,Q,Average Total Weekly Hours,107513172.18691128
2012,UK,Leisure and Entertainment,R,Average Total Weekly Hours,21189204.93788693
2012,UK,Other Services,S and T,Average Total Weekly Hours,23634161.587707415
2013,UK,All Industries,All Industries,Average Total Weekly Hours,963728320.2056501
2013,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,29945305.09623206
2013,UK,Manufacturing,C,Average Total Weekly Hours,91350596.97996344
2013,UK,Construction,F,Average Total Weekly Hours,72885524.19243063
2013,UK,Trade,G,Average Total Weekly Hours,143472125.5617632
2013,UK,Transport,H,Average Total Weekly Hours,48805705.96267926
2013,UK,Leisure and Entertainment,I,Average Total Weekly Hours,52580113.46991036
2013,UK,Telecoms,J,Average Total Weekly Hours,44177033.663491875
2013,UK,Financial Services,K,Average Total Weekly Hours,37908550.19790658
2013,UK,Financial Services,L,Average Total Weekly Hours,14900632.51488067
2013,UK,Professional and Business Services,M,Average Total Weekly Hours,78937332.26979092
